District,Old x,Old y,diff,x,y
Cumilla,59,-27,15,49,-42
Feni,91,-74,15,78,-82
Brahmanbaria,61,23,15,46,8
Rangamati,168,-98,15,153,-113
Noakhali,66,-79,15,51,-94
Chandpur,34,-42,15,19,-57
Lakshmipur,37,-76,15,22,-85
Chattogram,129,-121,15,114,-136
Coxsbazar,142,-204,15,127,-219
Khagrachhari,137,-46,15,122,-61
Bandarban,171,-185,15,156,-200
Sirajganj,-69,72,15,-88,63
Pabna,-89,37,15,-104,27
Bogura,-86,118,15,-101,103
Rajshahi,-150,88,15,-170,73
Natore,-128,60,15,-128,60
Joypurhat,-112,143,15,-127,128
Chapainawabganj,-185,109,15,-235,94
Naogaon,-160,120,15,-160,120
Jessore,-112,-54,15,-127,-69
Shatkhira,-118,-94,15,-133,-109
Meherpur,-149,13,15,-169,-2
Narail,-74,-52,15,-89,-62
Chuadanga,-142,-5,15,-157,-20
Kushtia,-118,20,15,-133,10
Magura,-83,-21,15,-98,-42
Khulna,-89,-120,15,-104,-140
Bagerhat,-59,-116,15,-74,-131
Jhinaidaha,-112,-16,15,-127,-31
Jhalokati,-16,-104,15,-31,-119
Patuakhali,-4,-134,15,-19,-149
Pirojpur,-34,-104,15,-49,-109
Barisal,-5,-81,15,-20,-96
Bhola,34,-132,15,24,-140
Borguna,-30,-153,15,-45,-168
Sylhet,138,122,15,123,107
Moulvibazar,124,76,15,109,61
Habiganj,89,69,15,74,50
Sunamganj,85,124,15,62,120
Narsingdi,38,34,15,26,21
Gazipur,9,40,15,-11,30
Shariatpur,-4,-44,15,-19,-50
Narayanganj,19,4,15,4,-11
Tangail,-34,66,15,-45,51
Kishoreganj,50,67,15,25,60
Manikganj,-45,18,15,-50,3
Dhaka,-14,5,15,-29,-10
Munshiganj,3,-20,15,-12,-29
Rajbari,-73,4,15,-88,-11
Madaripur,-25,-47,15,-40,-62
Gopalganj,-51,-55,15,-60,-75
Faridpur,-44,-22,15,-59,-37
Panchagarh,-153,262,15,-173,247
Dinajpur,-142,204,15,-157,189
Lalmonirhat,-88,225,15,-103,214
Nilphamari,-123,239,15,-138,224
Gaibandha,-77,155,15,-92,140
Thakurgaon,-183,234,15,-200,219
Rangpur,-100,196,15,-115,181
Kurigram,-60,223,15,-75,197
Sherpur,-31,138,15,-41,123
Mymensingh,0,94,15,-15,79
Jamalpur,-52,123,15,-60,108
Netrokona,32,120,15,17,105
